"purchase_date","product_category","sales"
2016-09-04,"furniture_decor",272.46
2016-10-03,"fashion_shoes",40.95
2016-10-03,"furniture_decor",225.73
2016-10-03,"sports_leisure",92.82
2016-10-03,"toys",154.57
2016-10-03,"watches_gifts",45.46
2016-10-04,"air_conditioning",826.69
2016-10-04,"auto",18.62
2016-10-04,"baby",434.98
2016-10-04,"bed_bath_table",766.48
2016-10-04,"computers_accessories",259.89
2016-10-04,"consoles_games",2209.32
2016-10-04,"cool_stuff",228.42
2016-10-04,"fixed_telephony",214.98
2016-10-04,"furniture_decor",1991.11
2016-10-04,"garden_tools",196.27
2016-10-04,"health_beauty",1708.18
2016-10-04,"housewares",353.76
2016-10-04,"office_furniture",115.22
2016-10-04,"perfumery",1286.84
2016-10-04,"sports_leisure",798.17
2016-10-04,"telephony",40.79
2016-10-04,"toys",793.83
2016-10-05,"air_conditioning",676.92
2016-10-05,"auto",801.9
2016-10-05,"baby",727.07
2016-10-05,"bed_bath_table",184.87
2016-10-05,"books_technical",299.84
2016-10-05,"computers_accessories",196.76
2016-10-05,"consoles_games",661.75
2016-10-05,"electronics",1227.78
2016-10-05,"fashio_female_clothing",69.63
2016-10-05,"fashion_male_clothing",35.86
2016-10-05,"fixed_telephony",161.65
2016-10-05,"furniture_decor",1150.84
2016-10-05,"health_beauty",238.09
2016-10-05,"industry_commerce_and_business",113.17
2016-10-05,"market_place",723.75
2016-10-05,"office_furniture",115.22
2016-10-05,"perfumery",615.72
2016-10-05,"sports_leisure",818.12
2016-10-05,"telephony",149.7
2016-10-05,"toys",1378.06
2016-10-06,"auto",594.46
2016-10-06,"baby",227.09
2016-10-06,"bed_bath_table",74.59
2016-10-06,"computers_accessories",910.9
2016-10-06,"consoles_games",25.96
2016-10-06,"cool_stuff",341.99
2016-10-06,"electronics",119.79
2016-10-06,"fashion_bags_accessories",215.75
2016-10-06,"fixed_telephony",91.16
2016-10-06,"furniture_decor",372.54
2016-10-06,"garden_tools",156.22
2016-10-06,"health_beauty",668.87
2016-10-06,"housewares",467.2
2016-10-06,"market_place",501.38
2016-10-06,"perfumery",1649.57
2016-10-06,"pet_shop",244.02
2016-10-06,"sports_leisure",206.49
2016-10-06,"telephony",86.16
2016-10-06,"toys",293.57
2016-10-06,"watches_gifts",1324.7
2016-10-07,"air_conditioning",401.3
2016-10-07,"audio",147.08
2016-10-07,"auto",142.63
2016-10-07,"baby",266.74
2016-10-07,"computers_accessories",441.63
2016-10-07,"cool_stuff",765
2016-10-07,"fixed_telephony",286.55
2016-10-07,"furniture_decor",726.09
2016-10-07,"garden_tools",611.56
2016-10-07,"health_beauty",694.69
2016-10-07,"housewares",363.39
2016-10-07,"industry_commerce_and_business",113.17
