"product_category","total_sales","salesperitem","avg_review"
"bed_bath_table",1718999.35,155.12,3.898
"health_beauty",1623141.62,171.04,4.177
"computers_accessories",1553629.19,202.22,3.979
"furniture_decor",1406156.1,171.02,3.933
"watches_gifts",1381846.66,236.42,4.056
"sports_leisure",1354849.12,159.9,4.152
"housewares",1071980.71,157.41,4.095
"auto",834187.2,201.15,4.09
"garden_tools",810064.91,189.67,4.07
"cool_stuff",744832.46,200.39,4.184
"office_furniture",640226.83,382.91,3.508
"toys",603472.2,149.89,4.19
"baby",524246.64,175.86,4.067
"perfumery",496402.64,148.62,4.211
"telephony",468965.05,106.08,3.985
"stationery",308309.52,124.97,4.234
"pet_shop",307373.5,159.92,4.208
"computers",273338.33,1380.5,4.182
"electronics",245883.31,90.27,4.052
"construction_tools_construction",238615.83,261.35,4.082
"musical_instruments",220936.17,339.38,4.204
"small_appliances",218091.38,329.44,4.204
"fashion_bags_accessories",214219.65,107.27,4.177
"fixed_telephony",192365.09,754.37,3.745
"luggage_accessories",184364.15,171.82,4.346
"consoles_games",184118.56,169.54,4.11
"furniture_living_room",135014.32,270.57,3.918
"home_construction",134747.95,225.71,3.946
"home_appliances_2",119458.25,512.7,4.172
"agro_industry_and_commerce",115632.24,561.32,4.087
"home_appliances",97376.84,123.57,4.216
"air_conditioning",88849.72,307.44,4
"home_confort",84213.2,194.94,3.847
"kitchen_dining_laundry_garden_furniture",73209.43,268.17,4.022
"construction_tools_lights",70319.81,233.62,4.007
"drinks",69406.21,190.15,4.129
"signaling_and_security",67655.01,348.74,4.067
"books_general_interest",62732.36,117.26,4.503
"construction_tools_safety",60932.07,332.96,3.951
"audio",60214.87,166.34,3.812
"industry_commerce_and_business",54866.45,207.83,4.091
"small_appliances_home_oven_and_coffee",50281.65,688.79,4.438
"food",45073.87,90.87,4.206
"market_place",44615.77,146.28,4.052
"costruction_tools_garden",41584.88,177.71,4.124
"fashion_shoes",31789.81,122.74,4.247
"furniture_bedroom",30057.23,291.82,4.252
"art",28498.45,144.66,4.061
"food_drink",26794.13,98.87,4.369
"books_technical",24514.8,92.51,4.381
"costruction_tools_tools",21069.07,204.55,4.359
"christmas_supplies",18893.4,125.96,3.953
"fashion_male_clothing",16723.46,133.79,3.736
"fashion_underwear_beach",12416.82,97.77,4.024
"tablets_printing_image",10042.93,121,4.048
"cine_photo",9266.13,130.51,4.296
"music",6901.43,181.62,4.211
"books_imported",6443.13,113.04,4.509
"dvds_blu_ray",6416.99,105.2,4.18
"party_supplies",5938.54,141.39,3.833
"furniture_mattress_and_upholstery",5904.75,159.59,3.892
"fashio_female_clothing",4981.37,108.29,3.957
"diapers_and_hygiene",4126.17,111.52,3.378
"fashion_sport",3566.74,127.38,4.321
"la_cuisine",2913.53,208.11,3.786
"arts_and_craftmanship",2326.17,96.92,4.125
"flowers",2213.01,67.06,4.212
"home_comfort_2",1710.54,57.02,3.367
"cds_dvds_musicals",1199.43,85.67,4.643
"fashion_childrens_clothes",718.98,102.71,5
"security_and_services",324.51,162.25,2.5
