"purchase_date","Chemists & Drgustores","Clothing","DIY Goods","Eletrical Goods","Food & Consumables","Furniture & Carpets","Garden Products","Household & Textiles","Music, Films & Books","Services","Sports Equipments","Total Sales"
2016-09-04,NA,NA,NA,NA,NA,272.46,NA,NA,NA,NA,NA,272.46
2016-10-03,NA,86.41,NA,NA,NA,225.73,NA,154.57,NA,NA,92.82,559.53
2016-10-04,2995.02,NA,228.42,3551.67,NA,2106.33,196.27,2367.67,NA,NA,798.17,12309.05
2016-10-05,853.81,105.49,NA,3074.56,NA,1266.06,NA,3091.9,299.84,836.92,818.12,10691.14
2016-10-06,2318.44,1540.45,341.99,1233.97,NA,372.54,156.22,1900.93,NA,501.38,206.49,8572.41
2016-10-07,1912.31,NA,765,1159.34,NA,876.55,611.56,2062.29,147.08,185.77,160.44,7880.34
2016-10-08,2418.33,2158.74,NA,1292.26,NA,3272.25,82.08,649.97,NA,207.22,91.38,10202.65
2016-10-09,359.54,105.19,NA,51.05,NA,1357.9,419.06,1237.45,144.54,NA,135.85,3810.58
2016-10-10,599.93,121.54,NA,531.99,96.23,1655.91,NA,732.21,35.95,532.14,187.49,4493.39
2016-12-23,NA,19.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.62
2017-01-05,NA,176.58,NA,NA,NA,148.76,91.92,252.77,37.24,NA,NA,707.27
2017-01-06,666.71,NA,NA,146.29,NA,NA,NA,175.28,NA,NA,NA,988.28
2017-01-07,389.43,164.21,846.52,NA,NA,47.83,NA,NA,NA,NA,NA,1447.99
2017-01-08,NA,141.37,NA,25.1,NA,301.78,256.79,84.59,NA,NA,NA,809.63
2017-01-09,130.75,NA,367.65,NA,NA,108.12,NA,16.62,NA,NA,151.37,774.51
2017-01-10,NA,719.76,191.4,NA,NA,82.19,425.07,152.75,NA,NA,NA,1571.17
2017-01-11,NA,144.07,NA,809.38,NA,28.46,1262.16,407.8,NA,NA,229.65,2881.52
2017-01-12,NA,58.74,NA,1275.33,NA,1051.05,NA,505.07,NA,NA,NA,2890.19
2017-01-13,270.57,305.44,NA,NA,NA,188.71,1263.19,603.19,NA,NA,149.62,2780.72
2017-01-14,NA,NA,NA,250.31,NA,627.16,NA,77.75,NA,NA,552.14,1507.36
2017-01-15,374.28,104.65,54.95,50.02,NA,1525.63,848.76,240.69,NA,NA,199.36,3398.34
2017-01-16,779.66,245.02,665.7,383.54,NA,509.58,NA,1140.16,NA,43.86,42.52,3810.04
2017-01-17,583.7,591.4,82.58,247.75,NA,803.11,175.85,890.33,NA,NA,488.85,4057.57
2017-01-18,676.98,204.49,NA,1128.42,NA,412.16,50.59,1902.69,NA,88.23,219.82,4683.38
2017-01-19,161.71,NA,NA,188.18,NA,2392.34,NA,1526.64,NA,87.83,744.38,5101.08
2017-01-20,602.47,124.74,1538.92,559.95,NA,781.36,121.84,1059.77,NA,NA,247.37,5449.12
2017-01-21,44.95,159.11,26.76,362.13,NA,1703.63,NA,1204.72,NA,NA,169.95,3671.25
2017-01-22,1164.69,102.15,NA,844.45,NA,801.88,413.28,682.33,NA,NA,133.09,4280.22
2017-01-23,1335.01,517.29,160.77,790.68,NA,431.38,1282.01,1789.21,NA,61.42,1333.05,7700.82
2017-01-24,1038.37,124.43,186.49,1010.46,NA,416.56,248.68,3851.79,NA,239.9,588.42,7705.1
2017-01-25,2057.75,355.15,2170.61,1134.43,NA,918.67,386.41,2422.25,NA,NA,920.28,10870.31
2017-01-26,2531.3,1788.74,931.57,1539.16,NA,2024.98,646.53,2599.49,NA,209.06,3730.67,16096.69
2017-01-27,968.21,1369.69,398.44,3183.65,33.32,2245.59,237.6,3304.89,501.88,NA,417.22,13465.27
2017-01-28,1225.7,NA,1075.89,567.84,NA,687.58,213.79,1755.88,NA,NA,280.5,5909.98
2017-01-29,1168,896.8,NA,372.8,45.5,808.79,128,3320.27,NA,NA,470.3,7318.46
2017-01-30,1900.28,69,691.99,3266.79,NA,1331.27,898.8,3870.65,NA,43,386.98,12734.75
2017-01-31,1701.07,3821.93,426.67,947.56,NA,2786.22,273.9,1820.03,223.01,91.74,837.14,13321.43
2017-02-01,1780.14,606.53,1489.06,1042.55,167.1,1718.3,207.07,1494.82,65.46,119.09,635.92,10371.42
2017-02-02,1605.02,1046.7,1535.96,2251.39,NA,1563.03,315.48,1231.5,44.01,NA,789.84,10676.54
2017-02-03,2072.23,966.97,209.49,1484.29,NA,2451.75,NA,2392.66,1317.36,NA,677.25,11911.82
2017-02-04,4103.98,647.41,398.9,663.46,NA,2276.23,505.15,1983.79,NA,NA,648.87,15876.28
2017-02-05,1927.75,630.95,136.04,459.32,NA,3865.8,321.46,2296.4,305.08,36.51,1258.21,11628.3
2017-02-06,2148.68,384.72,1591.48,1340.64,NA,994.03,59.35,2964.3,36.94,40.51,1031.12,11960.14
2017-02-07,1064.6,2681.59,564.93,2572.06,40.16,2409.2,1048.68,4563.99,127.58,51.99,2064.16,17805.31
2017-02-08,1841.41,1892.84,250.04,492.57,181.98,2764.57,491.68,4204.61,258.61,86.26,1129.66,14232.29
2017-02-09,1311.5,266.71,776.95,630.13,NA,2822.83,273.21,4162.3,123.25,NA,499.01,11079.88
2017-02-10,1316.84,1948.01,572.25,5104.57,NA,1603.82,1270.42,3997.28,NA,95.72,484.82,16458.05
2017-02-11,280.54,415.14,NA,475.01,NA,2092.75,NA,1588.02,NA,50.7,588.21,6058.06
2017-02-12,1441.78,513.67,638.1,514.23,NA,583.03,537.88,11409.8,293.2,113.87,177.17,16639.87
2017-02-13,2142.32,326.26,254.36,780.05,NA,3124.49,71.92,4685.77,92.62,38.04,1949,13816.54
2017-02-14,1448.39,294.72,678.4,2960.13,NA,3290.54,810.52,4226.3,128.31,88.23,988.75,15912.61
2017-02-15,1672.77,499.04,328.01,293.45,NA,1697.61,1353.09,1911.24,242.61,NA,268.86,8561.56
2017-02-16,782.91,251.28,238.27,811.87,365.29,1264.99,389.46,1983.73,166,504.68,710.71,7843.37
2017-02-17,75.01,516.84,227.45,1623.57,54.11,2913.85,1367.77,4078.06,NA,NA,93.22,11080.6
2017-02-18,755.52,216.51,1470.66,1219.95,NA,408.77,1097.74,3536.29,NA,124.83,232.91,10095.83
2017-02-19,357,431.34,92.77,1376.94,54.95,718.99,NA,1533.94,114.9,54.01,96.72,4831.56
2017-02-20,1402.36,155.05,640.16,1645.35,NA,1305.92,2154.26,1576.23,NA,91.79,481.86,9576.81
2017-02-21,686,59.42,NA,4424.81,NA,351.84,161.13,2392.57,NA,240.32,1187.64,9503.73
2017-02-22,1778.23,464.43,1610.12,498.42,29.84,1310.36,1289.38,1544.67,274.99,88.23,541.38,9536.24
2017-02-23,707.68,172.77,198.48,1199.01,NA,2533.53,437.7,2994.94,NA,NA,595.77,9043.96
2017-02-24,2005.38,358.94,402.22,1624.59,NA,857.89,222.8,1796.31,61.71,91.92,584.91,8090.93
2017-02-25,346.13,676.49,384.3,414.4,36.77,2004.24,147.36,890.88,NA,NA,526.42,5665.3
2017-02-26,323.37,834.7,NA,710.38,NA,1200.73,50.86,1919.18,311.01,134.94,617.47,6583.5
2017-02-27,145.72,2082.78,87.22,637.46,NA,1254.41,484.2,1196.09,NA,396.9,473.02,6790.76
2017-02-28,554.18,1037.32,1641.88,561.86,NA,1881.99,424.04,5087.75,125.44,NA,614.13,12423.25
2017-03-01,1273.33,352.53,2465.65,1466.28,187.52,2189.09,294.12,4923.7,NA,219,3564.45,21189.23
