"","state","sales","salesperorder","avg_shipcost","avg_shcsratio","avg_delidays","avg_review","avg_diffestdel"
"1","AC",24763.15,278.24,55.13,0.28,20.66,4.112,21.08
"2","AL",107855.7,253.18,41.74,0.27,24.4,3.791,8.77
"3","AM",33308.86,205.61,44.99,0.3,26.24,4.099,19.88
"4","AP",21521.71,265.7,48.87,0.25,28.22,4.247,18.4
"5","BA",761962.02,209.79,37.04,0.25,19.21,3.846,10.99
"6","CE",325447.52,231.64,41.69,0.26,20.88,3.876,11.14
"7","DF",389281.72,179.31,27.68,0.23,12.91,4.028,12.17
"8","ES",396853.41,179.41,27.91,0.23,15.55,3.986,10.73
"9","GO",486413,217.54,35.32,0.23,15.2,3.994,12.46
"10","MA",192802.06,243.13,51.4,0.3,21.5,3.755,10
"11","MG",2265009.23,176.91,27.61,0.22,11.92,4.106,13.37
"12","MS",163780.96,201.21,30.3,0.23,15.47,4.072,11.23
"13","MT",250211.15,244.11,39.74,0.25,17.85,3.997,14.66
"14","PA",244597.85,234.96,45.6,0.28,23.74,3.8,14.19
"15","PB",172829.36,300.05,69.32,0.29,20.61,4.012,13
"16","PE",356159.71,205.63,40.6,0.27,18.21,4.013,13.53
"17","PI",132286.9,257.37,50.5,0.28,19.28,3.946,11.56
"18","PR",1024502.34,183.44,29.87,0.23,11.87,4.132,13.51
"19","RJ",2666185.04,190.51,28.61,0.22,15.09,3.853,12.01
"20","RN",114149.43,221.65,41.05,0.28,19.3,4.089,13.93
"21","RO",64019.57,241.58,51.43,0.32,19.78,4.068,19.93
"22","RR",10999.06,249.98,55.59,0.32,28.2,3.886,18.5
"23","RS",1098770.75,180.66,29.79,0.23,15.14,4.092,14.17
"24","SC",760692.54,187.73,30.24,0.23,14.94,4.034,11.6
"25","SE",85330.25,229.38,46.99,0.28,21.45,3.879,9.9
"26","SP",7362771.6,159.87,20.96,0.19,8.66,4.168,11.23
"27","TO",70047.7,229.66,48.04,0.29,17.43,4.151,12.23
