"purchase_date","salesbyday"
2016-10-03,559.53
2016-10-04,11916.58
2016-10-05,13124.66
2016-10-06,8323.57
2016-10-07,8668.5
2016-10-08,9987.33
2016-10-09,5180.94
2016-10-10,4748.87
2016-12-23,19.62
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,2294.51
2017-01-08,507.85
2017-01-09,882.63
2017-01-10,1571.17
2017-01-11,2098.78
2017-01-12,2474.11
2017-01-13,2712.86
2017-01-14,1161.08
2017-01-15,3725.71
2017-01-16,5250.16
2017-01-17,4634.19
2017-01-18,4026.84
2017-01-19,5799.98
2017-01-20,7893.76
2017-01-21,6568.8
2017-01-22,4953.25
2017-01-23,9818.8
2017-01-24,8789.44
2017-01-25,8961.43
2017-01-26,19813.19
2017-01-27,14980.41
2017-01-28,5712.18
2017-01-29,8799.44
2017-01-30,25881.78
2017-01-31,15345.71
2017-02-01,9445.71
2017-02-02,11419.72
2017-02-03,11335.75
2017-02-04,13295.71
2017-02-05,11632.43
2017-02-06,10633.6
2017-02-07,20992.43
2017-02-08,15069.06
2017-02-09,11763.16
2017-02-10,16092.41
2017-02-11,5987.15
2017-02-12,16537.72
2017-02-13,15069.46
2017-02-14,16966.55
2017-02-15,8071.38
2017-02-16,7660.76
2017-02-17,11817.58
2017-02-18,12457.02
2017-02-19,4631.44
2017-02-20,9757.28
2017-02-21,9356.72
2017-02-22,8324.32
2017-02-23,13475.09
2017-02-24,9617.62
2017-02-25,6115.75
2017-02-26,6032.84
2017-02-27,8663.22
2017-02-28,15295.83
2017-03-01,18618.13
2017-03-02,13379.65
2017-03-03,15608.71
2017-03-04,12417.39
2017-03-05,10142.83
2017-03-06,12297.23
2017-03-07,18466.51
2017-03-08,16268.28
2017-03-09,18977.95
2017-03-10,16423.31
2017-03-11,14642.85
2017-03-12,7979.98
2017-03-13,19895.3
2017-03-14,21197.75
2017-03-15,19937.22
2017-03-16,24002.62
2017-03-17,16038.01
2017-03-18,18846.64
2017-03-19,8344.73
2017-03-20,22212.17
2017-03-21,14785.63
2017-03-22,20224.39
2017-03-23,26137.32
2017-03-24,13187.19
2017-03-25,15135.33
2017-03-26,8104.71
2017-03-27,20323.12
2017-03-28,16092.64
2017-03-29,11677.31
2017-03-30,13249.29
2017-03-31,14335.98
2017-04-01,19140.26
2017-04-02,17930.44
2017-04-03,12719.84
2017-04-04,16373.4
2017-04-05,21017.75
2017-04-06,20742.69
2017-04-07,15766.31
2017-04-08,9642.32
2017-04-09,10406.13
2017-04-10,14240.6
2017-04-11,10196.91
2017-04-12,9415.52
2017-04-13,12476.96
2017-04-14,8457.22
2017-04-15,8872.04
2017-04-16,6719.37
2017-04-17,9189.82
2017-04-18,26631.78
2017-04-19,17114.55
2017-04-20,17194.89
2017-04-21,12556.25
2017-04-22,17364.16
2017-04-23,12245.96
2017-04-24,17606.6
2017-04-25,17771.32
2017-04-26,20326.62
2017-04-27,14824.74
2017-04-28,20389.88
2017-04-29,17237.27
2017-04-30,9931.39
2017-05-01,15312.08
2017-05-02,21977.98
2017-05-03,13057.06
2017-05-04,19566.98
2017-05-05,18126.11
2017-05-06,19823.04
2017-05-07,19993.96
2017-05-08,24372.61
2017-05-09,35289.22
2017-05-10,30654.04
2017-05-11,25519.03
2017-05-12,16008.63
2017-05-13,11044.27
2017-05-14,18785.52
2017-05-15,27835.55
2017-05-16,30277.86
2017-05-17,23774.31
2017-05-18,27507.57
2017-05-19,31337.55
2017-05-20,13735.34
2017-05-21,22172.34
2017-05-22,30184.12
2017-05-23,22531.47
2017-05-24,30438.62
2017-05-25,20499.51
2017-05-26,14965.72
2017-05-27,21858.09
2017-05-28,12767.72
2017-05-29,22515.69
2017-05-30,22635.34
2017-05-31,25641.84
2017-06-01,22229.55
2017-06-02,21630.54
2017-06-03,18543.93
2017-06-04,15638.25
2017-06-05,29963.51
2017-06-06,17411.43
2017-06-07,16881.75
2017-06-08,30864.2
2017-06-09,21522.61
2017-06-10,10333.99
2017-06-11,20283.91
2017-06-12,28239.33
2017-06-13,17912.72
2017-06-14,24822.35
2017-06-15,16780.77
2017-06-16,15188.41
2017-06-17,14358.69
2017-06-18,19390.84
2017-06-19,30359.55
2017-06-20,22598.25
2017-06-21,7719.5
2017-06-22,11519.81
2017-06-23,16399.16
2017-06-24,11410.76
2017-06-25,20957.15
2017-06-26,17954.13
2017-06-27,22780.75
2017-06-28,21529.66
2017-06-29,16397.26
2017-06-30,15709.42
2017-07-01,17519.55
2017-07-02,15710.56
2017-07-03,21416.33
2017-07-04,19148.83
2017-07-05,28054.88
2017-07-06,28989.79
2017-07-07,19446.4
2017-07-08,12500.56
2017-07-09,11235.6
2017-07-10,27023.17
2017-07-11,28192.15
2017-07-12,25064.8
2017-07-13,22641.23
2017-07-14,25477.69
2017-07-15,16087.56
2017-07-16,22391.19
2017-07-17,31951.49
2017-07-18,40141.12
2017-07-19,28887.64
2017-07-20,28399.42
2017-07-21,25243
2017-07-22,17589.11
2017-07-23,13646.23
2017-07-24,26179.78
2017-07-25,25541.25
2017-07-26,18273.54
2017-07-27,22958.55
2017-07-28,29993.11
2017-07-29,21550.27
2017-07-30,18030.61
2017-07-31,24003.23
2017-08-01,33751.05
2017-08-02,25908.66
2017-08-03,24688.91
2017-08-04,25719.25
2017-08-05,15728.47
2017-08-06,17606.29
2017-08-07,32737.28
2017-08-08,24932.19
2017-08-09,32560.35
2017-08-10,28512.8
2017-08-11,27433.62
2017-08-12,19412.08
2017-08-13,19283.6
2017-08-14,25249.71
2017-08-15,30989.03
2017-08-16,31695.55
2017-08-17,24408.9
2017-08-18,22995.76
2017-08-19,18748.15
2017-08-20,17743.49
2017-08-21,35060.99
2017-08-22,23375.81
2017-08-23,74270.01
2017-08-24,18336.23
2017-08-25,19247.2
2017-08-26,12584.88
2017-08-27,18769.69
2017-08-28,29278.41
2017-08-29,41109.24
2017-08-30,36563.74
2017-08-31,29611.89
2017-09-01,37525.42
2017-09-02,23138.87
2017-09-03,42788.27
2017-09-04,31144.3
2017-09-05,30447.5
2017-09-06,33500.67
2017-09-07,22179.25
2017-09-08,20436.79
2017-09-09,21224.66
2017-09-10,23662.11
2017-09-11,30175.16
2017-09-12,60100.5
2017-09-13,36333.83
2017-09-14,33696.51
2017-09-15,22480.59
2017-09-16,23335.74
2017-09-17,24650.4
2017-09-18,43976
2017-09-19,30968.29
2017-09-20,28727.63
2017-09-21,26894.08
2017-09-22,28333.39
2017-09-23,14458.69
2017-09-24,19474.59
2017-09-25,25623.19
2017-09-26,27819.78
2017-09-27,33694.72
2017-09-28,39587.29
2017-09-29,137145.93
2017-09-30,15898.91
2017-10-01,25166.11
2017-10-02,47594.39
2017-10-03,33566.83
2017-10-04,27236.57
2017-10-05,47005.3
2017-10-06,25758.74
2017-10-07,21697.91
2017-10-08,22984.12
2017-10-09,39749.53
2017-10-10,34208.59
2017-10-11,26260.68
2017-10-12,28475.55
2017-10-13,31901.57
2017-10-14,17162.42
2017-10-15,23983.71
2017-10-16,39849.84
2017-10-17,67455.4
2017-10-18,41192.57
2017-10-19,31607.8
2017-10-20,23617.75
2017-10-21,21254.22
2017-10-22,27636.3
2017-10-23,32229.48
2017-10-24,34747.07
2017-10-25,27370.38
2017-10-26,33138.65
2017-10-27,33372.11
2017-10-28,21461.32
2017-10-29,27694.79
2017-10-30,29949.82
2017-10-31,38615.18
2017-11-01,31543.41
2017-11-02,29381.82
2017-11-03,37488.51
2017-11-04,40076.25
2017-11-05,24267.76
2017-11-06,36647.15
2017-11-07,29417.38
2017-11-08,31027.39
2017-11-09,37080.9
2017-11-10,26501.85
2017-11-11,28590.65
2017-11-12,30101.77
2017-11-13,35284.82
2017-11-14,33324.82
2017-11-15,32576.25
2017-11-16,40008.25
2017-11-17,48374.94
2017-11-18,34922.54
2017-11-19,26966.57
2017-11-20,60804.7
2017-11-21,52256.31
2017-11-22,41087.92
2017-11-23,77614.71
2017-11-24,253254.21
2017-11-25,94483.67
2017-11-26,67271.84
2017-11-27,79498.49
2017-11-28,80208.34
2017-11-29,55560.61
2017-11-30,42256.69
2017-12-01,55962.96
2017-12-02,38816.22
2017-12-03,41920.27
2017-12-04,59261.04
2017-12-05,52541.03
2017-12-06,56126.56
2017-12-07,41344.92
2017-12-08,37747.73
2017-12-09,24662.01
2017-12-10,30581.88
2017-12-11,43124.33
2017-12-12,46234.83
2017-12-13,55830.93
2017-12-14,32325.25
2017-12-15,36855.88
2017-12-16,25268.29
2017-12-17,24896.68
2017-12-18,38484.96
2017-12-19,28220.46
2017-12-20,37383.06
2017-12-21,22522.83
2017-12-22,20793.41
2017-12-23,15179.47
2017-12-24,6814.05
2017-12-25,14023.52
2017-12-26,26118.56
2017-12-27,22966.01
2017-12-28,18413.18
2017-12-29,22532.49
2017-12-30,16644.48
2017-12-31,9754.67
2018-01-01,9346.94
2018-01-02,32227.84
2018-01-03,41707.27
2018-01-04,42403.75
2018-01-05,39201.44
2018-01-06,47081.48
2018-01-07,40125.56
2018-01-08,53988.81
2018-01-09,42397.05
2018-01-10,63620.42
2018-01-11,73947.85
2018-01-12,50486.68
2018-01-13,34978.41
2018-01-14,39311.49
2018-01-15,55441.71
2018-01-16,61789.1
2018-01-17,42880.16
2018-01-18,39618.07
2018-01-19,36168.84
2018-01-20,31840.43
2018-01-21,28792.95
2018-01-22,51910.35
2018-01-23,50485.38
2018-01-24,44224.09
2018-01-25,40422.09
2018-01-26,46892.91
2018-01-27,32931.84
2018-01-28,29331.98
2018-01-29,46493.69
2018-01-30,57043.12
2018-01-31,43503.78
2018-02-01,61320.24
2018-02-02,42800.08
2018-02-03,29622.98
2018-02-04,32342.53
2018-02-05,51368.97
2018-02-06,51064.67
2018-02-07,43496.88
2018-02-08,37585.22
2018-02-09,39049.58
2018-02-10,28756.82
2018-02-11,33382.17
2018-02-12,36100.39
2018-02-13,35276.33
2018-02-14,57975.06
2018-02-15,42787.92
2018-02-16,42380.33
2018-02-17,34332.45
2018-02-18,35701.9
2018-02-19,42931.23
2018-02-20,46710.33
2018-02-21,49652.49
2018-02-22,94216.59
2018-02-23,37417.06
2018-02-24,31927.5
2018-02-25,44396.03
2018-02-26,57910.32
2018-02-27,70792.12
2018-02-28,63107.54
2018-03-01,63557.48
2018-03-02,45551.04
2018-03-03,34527.59
2018-03-04,38319.63
2018-03-05,67247.45
2018-03-06,52499.71
2018-03-07,51878.55
2018-03-08,46951.13
2018-03-09,39573.24
2018-03-10,40663.26
2018-03-11,41156.33
2018-03-12,40048.1
2018-03-13,49365.13
2018-03-14,36070.91
2018-03-15,58446.82
2018-03-16,51405.09
2018-03-17,30383.09
2018-03-18,39743.8
2018-03-19,75453.66
2018-03-20,52820.06
2018-03-21,50739.9
2018-03-22,43508.45
2018-03-23,41552.49
2018-03-24,33047.72
2018-03-25,38442.02
2018-03-26,48922.15
2018-03-27,56423.79
2018-03-28,35479.69
2018-03-29,37619.18
2018-03-30,33297.27
2018-03-31,41016.66
2018-04-01,40784
2018-04-02,67682.09
2018-04-03,49253.59
2018-04-04,52086.77
2018-04-05,51109.05
2018-04-06,39159.95
2018-04-07,33110.72
2018-04-08,32844.5
2018-04-09,67101.28
2018-04-10,38191.31
2018-04-11,51427.84
2018-04-12,50389.89
2018-04-13,45215.85
2018-04-14,32301.55
2018-04-15,47054.36
2018-04-16,58252.38
2018-04-17,61446.67
2018-04-18,56003.51
2018-04-19,87257.39
2018-04-20,40463.65
2018-04-21,25165.21
2018-04-22,39241.61
2018-04-23,51095.66
2018-04-24,63790.33
2018-04-25,55684.96
2018-04-26,46187.7
2018-04-27,62838.79
2018-04-28,31754.5
2018-04-29,26813.55
2018-04-30,52229.09
2018-05-01,42834.53
2018-05-02,56332.8
2018-05-03,61878.32
2018-05-04,55162.81
2018-05-05,39861.26
2018-05-06,36968.45
2018-05-07,76062.24
2018-05-08,65291.88
2018-05-09,66616.33
2018-05-10,79215.61
2018-05-11,59818.36
2018-05-12,42664.52
2018-05-13,45746.67
2018-05-14,73009.77
2018-05-15,78462.55
2018-05-16,79530.96
2018-05-17,42343.11
2018-05-18,46611.8
2018-05-19,34219.1
2018-05-20,28818.92
2018-05-21,40773.93
2018-05-22,54188.4
2018-05-23,24772.09
2018-05-24,27678.31
2018-05-25,31744.49
2018-05-26,22437.17
2018-05-27,16329.19
2018-05-28,40143.89
2018-05-29,36424.9
2018-05-30,30571.11
2018-05-31,33469.72
2018-06-01,65404.79
2018-06-02,31639.69
2018-06-03,38325.55
2018-06-04,39705.96
2018-06-05,54503.49
2018-06-06,44283.91
2018-06-07,52192.06
2018-06-08,41146.18
2018-06-09,41130
2018-06-10,35816.79
2018-06-11,76114.51
2018-06-12,57109.29
2018-06-13,52315.56
2018-06-14,37861.44
2018-06-15,36912.22
2018-06-16,31852.4
2018-06-17,25224.37
2018-06-18,49435.37
2018-06-19,49792.66
2018-06-20,45175.28
2018-06-21,39785.07
2018-06-22,34388.56
2018-06-23,25228.22
2018-06-24,33449.37
2018-06-25,52656.2
2018-06-26,51674.49
2018-06-27,38870.63
2018-06-28,47977.6
2018-06-29,29736.45
2018-06-30,21039.07
2018-07-01,38089.62
2018-07-02,47821.93
2018-07-03,40857.89
2018-07-04,49197.09
2018-07-05,49213.41
2018-07-06,24124.98
2018-07-07,13956.64
2018-07-08,21888.87
2018-07-09,23822.6
2018-07-10,24813.22
2018-07-11,26960.72
2018-07-12,24549.83
2018-07-13,39077.41
2018-07-14,28085.47
2018-07-15,58183.47
2018-07-16,40970.45
2018-07-17,40608.79
2018-07-18,61912.59
2018-07-19,56013.61
2018-07-20,46481.53
2018-07-21,28790.24
2018-07-22,37863.77
2018-07-23,58478.61
2018-07-24,51257.18
2018-07-25,68297.49
2018-07-26,54192.58
2018-07-27,39823.28
2018-07-28,42899.72
2018-07-29,38009.89
2018-07-30,50517.74
2018-07-31,71931.05
2018-08-01,57871.83
2018-08-02,52948.19
2018-08-03,57348.09
2018-08-04,47200.6
2018-08-05,50174.88
2018-08-06,85333.58
2018-08-07,85381.46
2018-08-08,70605.79
2018-08-09,54682.47
2018-08-10,42876.54
2018-08-11,35832.63
2018-08-12,49630.09
2018-08-13,52655.24
2018-08-14,58347.07
2018-08-15,58323.46
2018-08-16,49507.55
2018-08-17,44378.12
2018-08-18,29895.13
2018-08-19,34683.02
2018-08-20,46926.64
2018-08-21,33951.49
2018-08-22,29335.5
2018-08-23,22283.1
2018-08-24,14099.36
2018-08-25,12768.89
2018-08-26,10428.77
2018-08-27,6137.81
2018-08-28,5012.7
2018-08-29,4262.66
