"purchase_date","salesbyday"
2016-09-04,272.46
2016-10-03,559.53
2016-10-04,12309.05
2016-10-05,10691.14
2016-10-06,8572.41
2016-10-07,7880.34
2016-10-08,10202.65
2016-10-09,3810.58
2016-10-10,4493.39
2016-12-23,19.62
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,1447.99
2017-01-08,809.63
2017-01-09,774.51
2017-01-10,1571.17
2017-01-11,2881.52
2017-01-12,2890.19
2017-01-13,2780.72
2017-01-14,1507.36
2017-01-15,3398.34
2017-01-16,3810.04
2017-01-17,4057.57
2017-01-18,4683.38
2017-01-19,5101.08
2017-01-20,5449.12
2017-01-21,3671.25
2017-01-22,4280.22
2017-01-23,7700.82
2017-01-24,7705.1
2017-01-25,10870.31
2017-01-26,16096.69
2017-01-27,13465.27
2017-01-28,5909.98
2017-01-29,7318.46
2017-01-30,12734.75
2017-01-31,13321.43
2017-02-01,10371.42
2017-02-02,10676.54
2017-02-03,11911.82
2017-02-04,15876.28
2017-02-05,11628.3
2017-02-06,11960.14
2017-02-07,17805.31
2017-02-08,14232.29
2017-02-09,11079.88
2017-02-10,16458.05
2017-02-11,6058.06
2017-02-12,16639.87
2017-02-13,13816.54
2017-02-14,15912.61
2017-02-15,8561.56
2017-02-16,7843.37
2017-02-17,11080.6
2017-02-18,10095.83
2017-02-19,4831.56
2017-02-20,9576.81
2017-02-21,9503.73
2017-02-22,9536.24
2017-02-23,9043.96
2017-02-24,8090.93
2017-02-25,5665.3
2017-02-26,6583.5
2017-02-27,6790.76
2017-02-28,12423.25
2017-03-01,21189.23
2017-03-02,13575.95
2017-03-03,14348.92
2017-03-04,14450.44
2017-03-05,8853.5
2017-03-06,12662.33
2017-03-07,13845.73
2017-03-08,18123.94
2017-03-09,14885.4
2017-03-10,14444.76
2017-03-11,13737.93
2017-03-12,7777.25
2017-03-13,19147.21
2017-03-14,17124.56
2017-03-15,17902.89
2017-03-16,19462.85
2017-03-17,14895.04
2017-03-18,18110.32
2017-03-19,7728.08
2017-03-20,20173.35
2017-03-21,14813.61
2017-03-22,16663.24
2017-03-23,24153.01
2017-03-24,14113.47
2017-03-25,12612.51
2017-03-26,7861.76
2017-03-27,21222.09
2017-03-28,15316.24
2017-03-29,10081.94
2017-03-30,11435
2017-03-31,14178.48
2017-04-01,20574.68
2017-04-02,12083.25
2017-04-03,11632
2017-04-04,14988.58
2017-04-05,20849.13
2017-04-06,27127.9
2017-04-07,15226.14
2017-04-08,10770.06
2017-04-09,10166.48
2017-04-10,13587.65
2017-04-11,10447.39
2017-04-12,9432.61
2017-04-13,11387.8
2017-04-14,8555.3
2017-04-15,9887.82
2017-04-16,6932.74
2017-04-17,9472.3
2017-04-18,23921.82
2017-04-19,14423.42
2017-04-20,16808.32
2017-04-21,10466.44
